Date mutation,Valeur fonciere,No voie,Type de voie,Voie,Code ID commune,Code postal,Commune,Code departement,Code commune,1er lot,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
2020-02-03 00:00:00,56000,190.0,RUE,CENTRALE,0,1370.0,SAINT-ETIENNE-DU-BOIS,1,350,22,"50,42",Appartement,52,2
2020-01-02 00:00:00,165000,347.0,RUE,DU CHATEAU,1,1170.0,CHEVRY,1,103,12,"48,22",Appartement,48,3
2020-01-08 00:00:00,720000,58.0,AV,DU MONT BLANC,2,1220.0,DIVONNE-LES-BAINS,1,143,146,"130,8",Appartement,130,6
2020-01-06 00:00:00,429250,140.0,RUE,DE L'ABBE JOLIVET,3,1630.0,PERON,1,288,11,"109,22",Maison,109,5
2020-01-07 00:00:00,220900,39.0,RUE,BUFFON,4,1200.0,VALSERHONE,1,33,31,"108,65",Appartement,91,4
2020-01-21 00:00:00,42000,28.0,AV,JEAN FALCONNIER,5,1350.0,CULOZ,1,138,50,"31,65",Appartement,32,2
2020-01-07 00:00:00,262000,8.0,RUE,DE GENEVE,6,1630.0,ST-GENIS-POUILLY,1,354,11,"52,58",Appartement,52,2
2020-01-08 00:00:00,190000,2.0,RUE,DU RECULET,6,1630.0,ST-GENIS-POUILLY,1,354,304,"58,71",Appartement,60,2
2020-01-16 00:00:00,563130,1403.0,RUE,JEAN DE GINGINS,2,1220.0,DIVONNE-LES-BAINS,1,143,14,"93,23",Maison,96,4
2020-01-17 00:00:00,535000,226.0,ALL,DES CAPUCINES,6,1630.0,ST-GENIS-POUILLY,1,354,21,117,Maison,117,5
2020-01-16 00:00:00,330000,276.0,RTE,DE POUGNY,3,1630.0,PERON,1,288,4,"35,6",Appartement,36,2
2020-01-27 00:00:00,110600,79.0,CRS,DE VERDUN,7,1100.0,OYONNAX,1,283,169,"138,03",Appartement,137,5
2020-01-30 00:00:00,50000,77.0,RUE,DU COMMERCE,8,1130.0,ST-GERMAIN-DE-JOUX,1,357,11,42,Appartement,43,2
2020-01-09 00:00:00,212000,240.0,RUE,DE PRE BAILLY,9,1170.0,GEX,1,173,110,"45,36",Appartement,45,2
2020-01-15 00:00:00,160000,3.0,RUE,TURENNE,4,1200.0,VALSERHONE,1,33,213,"82,6",Appartement,84,4
2020-01-20 00:00:00,561550,44.0,ALL,DU SQUARE DE LAUSANNE,2,1220.0,DIVONNE-LES-BAINS,1,143,9,"88,11",Appartement,88,4
